"RelativePath","Extension","Lines","Category","Over300"
"src\styles\css\level-select.polish.css","css","822","css","True"
"tests\gameplay-features.spec.js","js","728","tests","True"
"tests\integration\worm-movement-system.spec.js","js","647","tests","True"
"tests\integration\worm-movement-navigation.spec.js","js","607","tests","True"
"tests\integration\worm-movement-behaviors.spec.js","js","562","tests","True"
"src\scripts\worm-powerups.ui.js","js","530","js-runtime","True"
"tests\unit\worm-movement.spec.js","js","495","tests","True"
"tests\powerups.spec.js","js","492","tests","True"
"src\scripts\display-manager.js","js","460","js-runtime","True"
"src\styles\css\worm-effects.core.css","css","451","css","True"
"src\scripts\worm\pools\ParticlePool.js","js","429","js-runtime","True"
"src\pages\game.html","html","421","pages","True"
"service-worker.js","js","405","misc","True"
"src\scripts\performance-monitor.js","js","398","js-runtime","True"
"src\scripts\worm-behavior-fsm.js","js","397","js-runtime","True"
"tests\performance\worm-movement-bench.spec.js","js","390","tests","True"
"tests\unit\worm-evasion.spec.js","js","379","tests","True"
"tests\lifecycle-hardening.spec.js","js","374","tests","True"
"src\scripts\ui-boundary-manager.core.js","js","368","js-runtime","True"
"src\assets\components\lock-components\line-6-transformer.html","html","364","assets-source","True"
"src\scripts\lock-responsive.js","js","351","js-runtime","True"
"src\scripts\worm\pools\WormSegmentPool.js","js","348","js-runtime","True"
"tests\ui-boundary.spec.js","js","348","tests","True"
"src\scripts\score-timer-manager.js","js","345","js-runtime","True"
"src\scripts\worm-system.spawn.js","js","344","js-runtime","True"
"tests\managers.spec.js","js","340","tests","True"
"src\scripts\worm-system.powerups.js","js","324","js-runtime","True"
"src\scripts\worm.js","js","308","js-runtime","True"
"src\scripts\lock-manager.animations.js","js","297","js-runtime","False"
"src\scripts\worm-system.effects.js","js","296","js-runtime","False"
"src\styles\css\modern-ux-enhancements.core.css","css","291","css","False"
"src\scripts\worm-renderer.js","js","290","js-runtime","False"
"src\styles\css\index.hero.css","css","280","css","False"
"src\scripts\interaction-audio.cyberpunk.js","js","279","js-runtime","False"
"src\assets\components\lock-components\Line-5-transformer.html","html","277","assets-source","False"
"src\scripts\worm-movement.js","js","270","js-runtime","False"
"src\scripts\worm-factory.js","js","269","js-runtime","False"
"src\scripts\dynamic-quality-adjuster.js","js","265","js-runtime","False"
"src\scripts\worm\collision\SpatialHashGrid.js","js","265","js-runtime","False"
"src\scripts\symbol-validator.js","js","262","js-runtime","False"
"src\assets\components\lock-components\line-4-transformer.html","html","260","assets-source","False"
"src\scripts\worm-system.behavior.js","js","259","js-runtime","False"
"src\styles\css\index.core.css","css","253","css","False"
"src\scripts\ui-boundary-manager.positioning.js","js","252","js-runtime","False"
"src\styles\css\game.css","css","252","css","False"
"tests\utils\test-data-generators.js","js","251","tests","False"
"src\scripts\problem-loader.js","js","249","js-runtime","False"
"src\styles\css\console.modal.css","css","247","css","False"
"src\scripts\worm-movement-behaviors.js","js","246","js-runtime","False"
"src\styles\css\index.responsive.css","css","245","css","False"
"src\scripts\worm\behavior\BehaviorStateMachine.js","js","244","js-runtime","False"
"src\styles\css\lock-components\Line-5-transformer.structure.css","css","240","css","False"
"src\scripts\worm\behavior\DevilState.js","js","237","js-runtime","False"
"src\scripts\lock-manager.js","js","229","js-runtime","False"
"tests\level-select-scoreboard.spec.js","js","228","tests","False"
"src\scripts\game-problem-manager.js","js","227","js-runtime","False"
"src\scripts\utils-combo.js","js","222","js-runtime","False"
"src\styles\css\lock-components\line-3-transformer.mechanics.css","css","222","css","False"
"src\styles\css\lock-components\line-4-transformer.structure.css","css","219","css","False"
"src\scripts\level-select-page.progress.js","js","218","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.entities.css","css","215","css","False"
"src\scripts\lazy-component-loader.js","js","212","js-runtime","False"
"src\scripts\worm-system.events.js","js","210","js-runtime","False"
"src\styles\css\level-select.details.core.css","css","208","css","False"
"src\styles\css\lock-components\Line-1-transformer.mechanics.motion.css","css","206","css","False"
"src\scripts\quality-tier-manager.core.js","js","204","js-runtime","False"
"src\scripts\worm\behavior\CarryingState.js","js","201","js-runtime","False"
"src\styles\css\modern-ux-enhancements.interactions.css","css","200","css","False"
"src\styles\css\score-timer.css","css","200","css","False"
"src\scripts\game-symbol-handler.core.js","js","199","js-runtime","False"
"src\scripts\utils-achievements.js","js","199","js-runtime","False"
"src\styles\css\game-animations.core.css","css","199","css","False"
"tests\lifecycle-tracker.spec.js","js","198","tests","False"
"src\styles\css\game-effects.css","css","197","css","False"
"src\styles\css\lock-components\line-2-transformer.mechanics.css","css","195","css","False"
"src\scripts\worm-movement-navigation.js","js","194","js-runtime","False"
"src\styles\css\game-modals.css","css","193","css","False"
"src\styles\css\index.scoreboard.css","css","193","css","False"
"src\scripts\worm-powerups.effects.spider.js","js","192","js-runtime","False"
"src\scripts\console-manager.ui.js","js","190","js-runtime","False"
"src\scripts\worm-powerups.selection.js","js","190","js-runtime","False"
"src\scripts\worm-system.powerups.effects.spider.js","js","189","js-runtime","False"
"src\styles\css\worm-effects.ui.css","css","187","css","False"
"src\scripts\worm\core\EventBus.js","js","185","js-runtime","False"
"src\styles\css\lock-components\line-4-transformer.animations.css","css","185","css","False"
"lock\lock.css","css","184","misc","False"
"src\scripts\worm-pathfinding.js","js","184","js-runtime","False"
"src\scripts\worm-spawn-manager.coordinator.spawners.js","js","184","js-runtime","False"
"src\styles\css\game-responsive.layout.css","css","184","css","False"
"src\assets\components\lock-components\line-3-transformer.html","html","178","assets-source","False"
"tests\welcome-page-redesign.spec.js","js","177","tests","False"
"src\scripts\worm-behavior.steal.js","js","173","js-runtime","False"
"src\pages\level-select.html","html","172","pages","False"
"src\scripts\level-select-page.interactions.js","js","172","js-runtime","False"
"tests\timer.spec.js","js","172","tests","False"
"src\scripts\symbol-rain.animation.js","js","171","js-runtime","False"
"src\scripts\worm-powerups.core.js","js","171","js-runtime","False"
"tests\game-mobile-layout.spec.js","js","171","tests","False"
"tests\worm-behavior.spec.js","js","171","tests","False"
"src\styles\css\game-polish.chrome.tokens.css","css","170","css","False"
"src\styles\css\lod-animations.tiers.css","css","169","css","False"
"src\styles\css\level-select.cards.css","css","168","css","False"
"tests\mocks\dom-mock.js","js","168","tests","False"
"tests\utils\perf-scenarios.js","js","166","tests","False"
"src\scripts\ui-boundary-manager.debug.js","js","164","js-runtime","False"
"src\scripts\console-manager.events.js","js","163","js-runtime","False"
"src\scripts\worm-system.gameover.js","js","163","js-runtime","False"
"src\scripts\lock-manager.loader.js","js","162","js-runtime","False"
"src\scripts\worm\behavior\StealingState.js","js","162","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.drums.sequencer.js","js","160","js-runtime","False"
"src\scripts\problem-manager.js","js","160","js-runtime","False"
"tests\perf-scenarios.spec.js","js","160","tests","False"
"tests\worm-rewards-idempotency.spec.js","js","160","tests","False"
"src\scripts\score-timer.runtime.js","js","157","js-runtime","False"
"src\scripts\worm\behavior\RushingState.js","js","157","js-runtime","False"
"src\scripts\index-page.effects.js","js","156","js-runtime","False"
"src\scripts\player-storage.helpers.js","js","155","js-runtime","False"
"src\scripts\symbol-rain.helpers.spatial.js","js","155","js-runtime","False"
"src\scripts\player-storage.js","js","154","js-runtime","False"
"src\scripts\worm-constants.js","js","154","js-runtime","False"
"src\scripts\3rdDISPLAY.js","js","153","js-runtime","False"
"src\scripts\index-page.scoreboard.js","js","151","js-runtime","False"
"src\scripts\worm-system.powerups.effects.devil.js","js","151","js-runtime","False"
"src\styles\css\console.core.css","css","151","css","False"
"src\styles\css\lock-components\line-3-transformer.effects.states.css","css","151","css","False"
"src\styles\css\lock-components\line-3-transformer.effects.keyframes.css","css","150","css","False"
"src\styles\css\lock-components\Line-5-transformer.animations.css","css","150","css","False"
"src\scripts\worm-behavior.targeting.js","js","148","js-runtime","False"
"src\scripts\game-effects.js","js","145","js-runtime","False"
"src\scripts\interaction-audio.cyberpunk.drums.patterns.js","js","143","js-runtime","False"
"src\scripts\symbol-manager.js","js","143","js-runtime","False"
"src\scripts\symbol-rain.spawn.js","js","143","js-runtime","False"
"src\scripts\worm-powerups.effects.chain.visuals.js","js","142","js-runtime","False"
"src\scripts\worm-system.cache.js","js","142","js-runtime","False"
"tests\mocks\worm-mock.js","js","140","tests","False"
"src\scripts\worm-powerups.effects.devil.js","js","138","js-runtime","False"
"src\scripts\worm-behavior.rush.js","js","136","js-runtime","False"
"src\styles\css\game-responsive.mobile-landscape.css","css","136","css","False"
"tests\performance-bench.spec.js","js","136","tests","False"
"src\styles\css\lock-components\line-2-transformer.structure.css","css","135","css","False"
"src\scripts\interaction-audio.cyberpunk.gameplay.js","js","133","js-runtime","False"
"src\scripts\worm-system.interactions.js","js","133","js-runtime","False"
"src\scripts\worm\behavior\RoamingState.js","js","133","js-runtime","False"
"src\styles\css\lock-responsive.css","css","132","css","False"
"src\scripts\worm-system.rewards.muffin.js","js","130","js-runtime","False"
"src\styles\css\game-polish.chrome.playfield.css","css","130","css","False"
"src\styles\css\worm-base.core.css","css","129","css","False"
"src\styles\css\lock-components\line-6-transformer.effects.keyframes.particles.css","css","128","css","False"
"src\tools\scripts\line-limit\audit-write.js","js","128","tools","False"
"tests\e2e-full-game-stress.spec.js","js","128","tests","False"
"src\scripts\index-page.scoreboard.render.js","js","127","js-runtime","False"
"src\scripts\worm-movement-core.js","js","127","js-runtime","False"
