"RelativePath","Extension","Lines","Category","Over300"
"src\styles\css\level-select.polish.css","css","822","css","True"
"tests\gameplay-features.spec.js","js","728","tests","True"
"tests\integration\worm-movement-system.spec.js","js","647","tests","True"
"tests\integration\worm-movement-navigation.spec.js","js","607","tests","True"
"tests\integration\worm-movement-behaviors.spec.js","js","562","tests","True"
"src\scripts\worm-powerups.ui.js","js","530","js-runtime","True"
"tests\unit\worm-movement.spec.js","js","495","tests","True"
"tests\powerups.spec.js","js","492","tests","True"
"src\scripts\display-manager.js","js","460","js-runtime","True"
"src\styles\css\worm-effects.core.css","css","451","css","True"
"src\scripts\worm\pools\ParticlePool.js","js","429","js-runtime","True"
"src\pages\game.html","html","421","pages","True"
"service-worker.js","js","405","misc","True"
"src\scripts\performance-monitor.js","js","398","js-runtime","True"
"src\scripts\worm-behavior-fsm.js","js","397","js-runtime","True"
"tests\performance\worm-movement-bench.spec.js","js","390","tests","True"
"tests\unit\worm-evasion.spec.js","js","379","tests","True"
"tests\lifecycle-hardening.spec.js","js","374","tests","True"
"src\scripts\ui-boundary-manager.core.js","js","368","js-runtime","True"
"src\assets\components\lock-components\line-6-transformer.html","html","364","assets-source","True"
"src\scripts\lock-responsive.js","js","351","js-runtime","True"
"src\scripts\worm\pools\WormSegmentPool.js","js","348","js-runtime","True"
"tests\ui-boundary.spec.js","js","348","tests","True"
"src\scripts\score-timer-manager.js","js","345","js-runtime","True"
"src\scripts\worm-system.spawn.js","js","344","js-runtime","True"
"tests\managers.spec.js","js","340","tests","True"
"src\scripts\worm-system.powerups.js","js","324","js-runtime","True"
"src\scripts\worm.js","js","308","js-runtime","True"
