"Path","Extension","Lines"
".eslintrc.json",".json","11"
".gitignore",".gitignore","42"
"eslint.config.js",".js","94"
"game.html",".html","20"
"index.html",".html","19"
"jsconfig.json",".json","17"
"level-select.html",".html","21"
"manifest.json",".json","76"
"MathMasterHTML.mdc",".mdc","417"
"package-lock.json",".json","3351"
"package.json",".json","48"
"playwright.config.js",".js","77"
"REFACTORING_PLAN.csv",".csv","19"
"service-worker.js",".js","325"
"style.css",".css","32"
"test-results.json",".json","1824"
"tsconfig.typecheck.json",".json","39"
"workspace.code-workspace",".code-workspace","14"
"_tmp_large_ui_mechanics.csv",".csv","30"
"_tmp_large_ui_mechanics.txt",".txt","31"
"_tmp_large_ui_mechanics_deps.csv",".csv","27"
".snapshots\config.json",".json","151"
".vscode\settings.json",".json","19"
"lock\lock.css",".css","163"
"lock\lock.js",".js","12"
"src\assets\components\lock-components\Line-1-transformer.html",".html","92"
"src\assets\components\lock-components\line-2-transformer.html",".html","99"
"src\assets\components\lock-components\line-3-transformer.html",".html","148"
"src\assets\components\lock-components\line-4-transformer.html",".html","222"
"src\assets\components\lock-components\Line-5-transformer.html",".html","230"
"src\assets\components\lock-components\line-6-transformer.html",".html","298"
"src\assets\images\Images\Gameplay3.jpg",".jpg","285"
"src\assets\images\Images\Level select.jpg",".jpg","2090"
"src\assets\problems\Assets\Worms.txt",".txt","26"
"src\pages\game.html",".html","382"
"src\pages\index.html",".html","219"
"src\pages\level-select.html",".html","351"
"src\scripts\3rdDISPLAY.js",".js","113"
"src\scripts\console-manager.core.js",".js","88"
"src\scripts\console-manager.events.js",".js","94"
"src\scripts\console-manager.js",".js","11"
"src\scripts\console-manager.storage.js",".js","47"
"src\scripts\console-manager.ui.js",".js","138"
"src\scripts\constants.js",".js","245"
"src\scripts\display-manager.js",".js","237"
"src\scripts\dynamic-quality-adjuster.js",".js","210"
"src\scripts\game-effects.js",".js","123"
"src\scripts\game-init.js",".js","90"
"src\scripts\game-problem-loader.js",".js","60"
"src\scripts\game-problem-manager.js",".js","184"
"src\scripts\game-state-manager.js",".js","44"
"src\scripts\game-symbol-handler.core.js",".js","161"
"src\scripts\game-symbol-handler.events.js",".js","89"
"src\scripts\game-symbol-handler.js",".js","14"
"src\scripts\game-symbol-handler.stolen.js",".js","48"
"src\scripts\game-symbol-helpers.js",".js","59"
"src\scripts\game.js",".js","38"
"src\scripts\lazy-component-loader.init.js",".js","37"
"src\scripts\lazy-component-loader.js",".js","186"
"src\scripts\lazy-lock-manager.js",".js","75"
"src\scripts\lock-manager.animations.js",".js","195"
"src\scripts\lock-manager.events.js",".js","77"
"src\scripts\lock-manager.js",".js","194"
"src\scripts\lock-manager.loader.js",".js","83"
"src\scripts\lock-manager.templates.js",".js","109"
"src\scripts\lock-responsive.js",".js","218"
"src\scripts\performance-monitor.js",".js","206"
"src\scripts\player-storage.js",".js","63"
"src\scripts\problem-loader.js",".js","214"
"src\scripts\problem-manager.js",".js","145"
"src\scripts\quality-tier-manager.js",".js","273"
"src\scripts\score-timer-manager.js",".js","195"
"src\scripts\score-timer.boundary.js",".js","37"
"src\scripts\score-timer.runtime.js",".js","124"
"src\scripts\score-timer.utils.js",".js","62"
"src\scripts\service-worker-register.js",".js","75"
"src\scripts\symbol-manager.js",".js","125"
"src\scripts\symbol-rain.animation.js",".js","123"
"src\scripts\symbol-rain.config.js",".js","52"
"src\scripts\symbol-rain.helpers.face-reveal.js",".js","69"
"src\scripts\symbol-rain.helpers.interactions.js",".js","46"
"src\scripts\symbol-rain.helpers.js",".js","7"
